,record,bad,cumulative bad %,cumulative total %,pred_col
0.411,7,5,36.70411985018727,13.80830489192264,prob_Logistic
0.412,8,6,37.025147137506686,13.922070534698522,prob_Logistic
0.413,8,5,37.29266987693954,14.035836177474403,prob_Logistic
0.414,3,1,37.34617442482611,14.07849829351536,prob_Logistic
0.415,7,4,37.56019261637239,14.178043230944255,prob_Logistic
0.416,3,2,37.667201712145534,14.220705346985211,prob_Logistic
0.417,5,2,37.77421080791867,14.291808873720136,prob_Logistic
0.418,3,2,37.881219903691814,14.334470989761092,prob_Logistic
0.419,3,2,37.98822899946496,14.377133105802049,prob_Logistic
0.42,8,5,38.25575173889781,14.49089874857793,prob_Logistic
0.422,1,1,38.309256286784375,14.505119453924914,prob_Logistic
0.423,6,4,38.52327447833066,14.590443686006827,prob_Logistic
0.424,9,5,38.79079721776351,14.718430034129693,prob_Logistic
0.425,4,2,38.89780631353665,14.775312855517633,prob_Logistic
0.426,5,5,39.1653290529695,14.846416382252558,prob_Logistic
0.427,5,2,39.27233814874264,14.917519908987487,prob_Logistic
0.428,8,6,39.593365436062065,15.031285551763368,prob_Logistic
0.429,8,1,39.64686998394863,15.14505119453925,prob_Logistic
0.43,4,1,39.70037453183521,15.20193401592719,prob_Logistic
0.431,4,1,39.75387907972178,15.25881683731513,prob_Logistic
0.432,6,4,39.96789727126806,15.344141069397041,prob_Logistic
0.433,7,3,40.12841091492777,15.443686006825939,prob_Logistic
0.434,7,5,40.39593365436062,15.543230944254836,prob_Logistic
0.435,7,4,40.6099518459069,15.642775881683733,prob_Logistic
0.436,15,11,41.19850187265918,15.856086461888511,prob_Logistic
0.437,11,5,41.46602461209203,16.01251422070535,prob_Logistic
0.438,8,2,41.57303370786517,16.12627986348123,prob_Logistic
0.439,15,11,42.161583734617444,16.339590443686006,prob_Logistic
0.44,6,0,42.161583734617444,16.42491467576792,prob_Logistic
0.441,5,3,42.32209737827715,16.496018202502842,prob_Logistic
0.442,6,3,42.48261102193687,16.581342434584755,prob_Logistic
0.443,6,4,42.69662921348314,16.666666666666664,prob_Logistic
0.444,8,4,42.91064740502943,16.780432309442546,prob_Logistic
0.445,4,4,43.12466559657571,16.83731513083049,prob_Logistic
0.446,7,2,43.23167469234885,16.936860068259385,prob_Logistic
0.447,8,4,43.445692883895134,17.050625711035266,prob_Logistic
0.448,13,7,43.82022471910113,17.235494880546078,prob_Logistic
0.449,8,5,44.087747458533975,17.34926052332196,prob_Logistic
0.45,7,5,44.35527019796683,17.44880546075085,prob_Logistic
0.451,4,2,44.46227929373997,17.505688282138795,prob_Logistic
0.452,4,2,44.569288389513105,17.562571103526736,prob_Logistic
0.453,3,3,44.729802033172824,17.60523321956769,prob_Logistic
0.454,4,1,44.78330658105939,17.66211604095563,prob_Logistic
0.455,5,4,44.99732477260567,17.733219567690558,prob_Logistic
0.456,8,2,45.10433386837881,17.84698521046644,prob_Logistic
0.457,9,7,45.4788657035848,17.974971558589306,prob_Logistic
0.458,8,4,45.69288389513109,18.088737201365188,prob_Logistic
0.459,2,2,45.799892990904226,18.11717861205916,prob_Logistic
0.46,14,11,46.3884430176565,18.31626848691695,prob_Logistic
0.461,11,8,46.81647940074906,18.47269624573379,prob_Logistic
0.462,5,2,46.923488496522204,18.543799772468713,prob_Logistic
0.463,2,1,46.97699304440878,18.572241183162685,prob_Logistic
0.464,4,0,46.97699304440878,18.629124004550626,prob_Logistic
0.465,8,7,47.351524879614765,18.742889647326507,prob_Logistic
0.466,6,2,47.45853397538791,18.828213879408416,prob_Logistic
0.467,16,9,47.940074906367045,19.055745164960182,prob_Logistic
0.468,8,5,48.20759764579989,19.169510807736064,prob_Logistic
0.469,6,2,48.31460674157304,19.254835039817976,prob_Logistic
0.47,3,3,48.47512038523274,19.29749715585893,prob_Logistic
0.471,10,5,48.7426431246656,19.43970420932878,prob_Logistic
0.472,3,2,48.84965222043874,19.48236632536974,prob_Logistic
0.473,3,2,48.95666131621188,19.525028441410694,prob_Logistic
0.474,8,6,49.2776886035313,19.638794084186575,prob_Logistic
0.475,9,6,49.59871589085072,19.766780432309442,prob_Logistic
0.476,12,8,50.02675227394329,19.937428896473264,prob_Logistic
0.477,11,7,50.40128410914928,20.0938566552901,prob_Logistic
0.478,8,1,50.45478865703584,20.20762229806598,prob_Logistic
0.479,6,3,50.61530230069556,20.292946530147894,prob_Logistic
0.48,5,1,50.66880684858213,20.36405005688282,prob_Logistic
0.481,5,2,50.77581594435527,20.435153583617748,prob_Logistic
0.482,7,5,51.04333868378812,20.534698521046643,prob_Logistic
0.483,3,0,51.04333868378812,20.5773606370876,prob_Logistic
0.484,3,2,51.150347779561265,20.620022753128556,prob_Logistic
0.485,5,4,51.36436597110754,20.691126279863482,prob_Logistic
0.486,3,2,51.47137506688069,20.733788395904437,prob_Logistic
0.487,5,2,51.578384162653826,20.804891922639364,prob_Logistic
0.488,5,3,51.73889780631353,20.875995449374287,prob_Logistic
0.489,7,3,51.89941144997324,20.975540386803186,prob_Logistic
0.49,6,2,52.00642054574639,21.0608646188851,prob_Logistic
0.491,4,2,52.113429641519524,21.11774744027304,prob_Logistic
0.492,3,1,52.1669341894061,21.160409556313994,prob_Logistic
0.493,11,4,52.38095238095239,21.31683731513083,prob_Logistic
0.494,6,4,52.59497057249867,21.402161547212742,prob_Logistic
0.495,8,6,52.915997859818084,21.515927189988624,prob_Logistic
0.496,6,3,53.076511503477796,21.601251422070536,prob_Logistic
0.497,3,1,53.13001605136437,21.64391353811149,prob_Logistic
0.498,3,1,53.18352059925093,21.686575654152445,prob_Logistic
0.499,8,5,53.45104333868379,21.800341296928327,prob_Logistic
0.5,3,1,53.504547886570364,21.843003412969285,prob_Logistic
0.501,10,6,53.82557517388978,21.985210466439135,prob_Logistic
0.502,2,0,53.82557517388978,22.013651877133107,prob_Logistic
0.503,3,0,53.82557517388978,22.05631399317406,prob_Logistic
0.504,4,3,53.98608881754949,22.113196814562002,prob_Logistic
